date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2010:42:02%20GMT	https://wearecomplexcreative.com/%22https:////wearecomplexcreative.com//wp-content//uploads//cc-marketing-1.jpeg/%22	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/wearecomplexcreative.com/wp-content/uploads/cc-marketing-1.jpeg/_	(from https://wearecomplexcreative.com/category/social-media/)
15:42:04	86826/86826	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Aug%202023%2010:42:02%20GMT	https://wearecomplexcreative.com/%22https:/wearecomplexcreative.com/wp-content/uploads/virtual-reality-goggles.webp/	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/wearecomplexcreative.com/wp-content/uploads/virtual-reality-goggles.webp/index.html	(from https://wearecomplexcreative.com/category/social-media/)
15:42:04	86826/86826	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Aug%202023%2010:42:02%20GMT	https://wearecomplexcreative.com/%22https:/www.theverge.com/22832490/niantic-ceo-john-hanke-metaverse-pokemon-go-ar-vr-podcast-decoder-interview/	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/www.theverge.com/22832490/niantic-ceo-john-hanke-metaverse-pokemon-go-ar-vr-podcast-decoder-interview/index.html	(from https://wearecomplexcreative.com/category/social-media/)
15:42:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2010:42:02%20GMT	https://wearecomplexcreative.com/%22https:////wearecomplexcreative.com//wp-content//uploads//cc-marketing-2.jpeg/%22	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/wearecomplexcreative.com/wp-content/uploads/cc-marketing-2.jpeg/_	(from https://wearecomplexcreative.com/category/social-media/)
15:42:04	86826/86826	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Aug%202023%2010:42:03%20GMT	https://wearecomplexcreative.com/%22https:/wearecomplexcreative.com/wp-content/uploads/cc-marketing-1.jpeg/	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/wearecomplexcreative.com/wp-content/uploads/cc-marketing-1.jpeg/index.html	(from https://wearecomplexcreative.com/category/social-media/)
15:42:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2010:42:03%20GMT	https://wearecomplexcreative.com/%22https:////wearecomplexcreative.com//wp-content//uploads//cc-marketing-3.jpeg/%22	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/wearecomplexcreative.com/wp-content/uploads/cc-marketing-3.jpeg/_	(from https://wearecomplexcreative.com/category/social-media/)
15:42:05	86826/86826	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Aug%202023%2010:42:03%20GMT	https://wearecomplexcreative.com/%22https:/wearecomplexcreative.com/wp-content/uploads/cc-marketing-2.jpeg/	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/wearecomplexcreative.com/wp-content/uploads/cc-marketing-2.jpeg/index.html	(from https://wearecomplexcreative.com/category/social-media/)
15:42:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2010:42:04%20GMT	https://wearecomplexcreative.com/%22https:////youtube.com//shorts//kbWxz8kEBOM?feature=share\%22	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/youtube.com/shorts/kbWxz8kEBOM89a6	(from https://wearecomplexcreative.com/category/social-media/)
15:42:06	86826/86826	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Aug%202023%2010:42:04%20GMT	https://wearecomplexcreative.com/%22https:/wearecomplexcreative.com/wp-content/uploads/cc-marketing-3.jpeg/	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/wearecomplexcreative.com/wp-content/uploads/cc-marketing-3.jpeg/index.html	(from https://wearecomplexcreative.com/category/social-media/)
15:42:06	86826/86826	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Aug%202023%2010:42:04%20GMT	https://wearecomplexcreative.com/%22https:/youtube.com/shorts/kbWxz8kEBOM?feature=share%22	C:/My%20Web%20Sites/Rankhive/wearecomplexcreative.com/_https_/youtube.com/shorts/kbWxz8kEBOM10e8	(from https://wearecomplexcreative.com/category/social-media/)
